PROGRAM_ID,LOCATION_NAME,SHELTER_ID,LOCATION_ADDRESS,LOCATION_CITY,LOCATION_PROVINCE,SECTOR,CAPACITY_TYPE,full_address,location,latitude,longitude,type
11794,Na-Me-Res,1,14 Vaughan Rd,Toronto,ON,['Men'],Bed Based Capacity,"14 Vaughan Rd, Toronto, ON","14, Vaughan Road, Wychwood, Toronto—St. Paul's, Toronto, Golden Horseshoe, Ontario, M5R 3S3, Canada",43.6814254,-79.4183507,Men only
11798,TSSS Womens' Residence,4,674 Dundas St W,Toronto,ON,['Women'],Bed Based Capacity,"674 Dundas St W, Toronto, ON","674, Dundas Street West, Kensington Market, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5T 1E4, Canada",43.6518512,-79.4036296,Women only
11812,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
11815,TSSS Downsview Dells,60,1651 Sheppard Ave W,Toronto,ON,['Men'],Bed Based Capacity,"1651 Sheppard Ave W, Toronto, ON","1651, Sheppard Avenue West, Downsview, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3J 3C8, Canada",43.742472,-79.4965543,Men only
11831,TSSS Fort York Residence,62,38 Bathurst St,Toronto,ON,['Men'],Bed Based Capacity,"38 Bathurst St, Toronto, ON","38, Bathurst Street, Wellington Place, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2P1, Canada",43.641817,-79.401972,Men only
11871,Sagatay ,1,26 Vaughan Rd,Toronto,ON,['Men'],Bed Based Capacity,"26 Vaughan Rd, Toronto, ON","26, Vaughan Road, Wychwood, Toronto—St. Paul's, Toronto, Golden Horseshoe, Ontario, M6G 2N3, Canada",43.6818715,-79.4186979,Men only
11891,The Scott Mission - Kensington location,8,346 Spadina Ave.,Toronto,ON,['Men'],Bed Based Capacity,"346 Spadina Ave., Toronto, ON","346, Spadina Avenue, Kensington Market, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5T 2E7, Canada",43.65425,-79.398877,Men only
11897,Dixon Hall Schoolhouse,14,349 George St,Toronto,ON,['Men'],Bed Based Capacity,"349 George St, Toronto, ON","349, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.660052,-79.374465,Men only
11898,Good Shepherd Centre Barrett House,16,35 Sydenham St,Toronto,ON,['Men'],Bed Based Capacity,"35 Sydenham St, Toronto, ON","35, Sydenham Street, Regent Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 3E7, Canada",43.6567429,-79.3623502,Men only
11899,Good Shepherd Centre,16,412 Queen St E,Toronto,ON,['Men'],Bed Based Capacity,"412 Queen St E, Toronto, ON","412, Queen Street East, Regent Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 4G8, Canada",43.656175,-79.3624789,Men only
11900,Good Shepherd Centre,16,412 Queen St E,Toronto,ON,['Men'],Bed Based Capacity,"412 Queen St E, Toronto, ON","412, Queen Street East, Regent Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 4G8, Canada",43.656175,-79.3624789,Men only
11971,Cornerstone Place,21,616 Vaughan Rd,Toronto,ON,['Men'],Bed Based Capacity,"616 Vaughan Rd, Toronto, ON","616, Vaughan Road, Oakwood Village, Toronto—St. Paul's, York, Toronto, Golden Horseshoe, Ontario, M6C 2R5, Canada",43.6919186,-79.4398677,Men only
12011,CONC Men's Shelter Lansdowne Ave,22,973 Lansdowne Ave,Toronto,ON,['Men'],Bed Based Capacity,"973 Lansdowne Ave, Toronto, ON","973, Lansdowne Avenue, Wallace Emerson, Davenport, Toronto, Golden Horseshoe, Ontario, M6H 4K3, Canada",43.6660985,-79.446011,Men only
12053,SA Evangeline Residence,28,2808 Dundas St W,Toronto,ON,['Women'],Bed Based Capacity,"2808 Dundas St W, Toronto, ON","2808, Dundas Street West, Junction Area, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.665538,-79.4631271,Women only
12071,SA Gateway,29,107 Jarvis St,Toronto,ON,['Men'],Bed Based Capacity,"107 Jarvis St, Toronto, ON","107, Jarvis Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5C 3H5, Canada",43.6522087,-79.372521,Men only
12111,SVDP St. Clare's Residence,31,3410 Bayview Ave,Toronto,ON,['Women'],Bed Based Capacity,"3410 Bayview Ave, Toronto, ON","3410, Bayview Avenue, Newtonbrook East, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2M 4C9, Canada",43.7982514,-79.3954227,Women only
12195,Street Haven,36,87 Pembroke St,Toronto,ON,['Women'],Bed Based Capacity,"87 Pembroke St, Toronto, ON","87, Pembroke Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.659289,-79.3727253,Women only
12211,SVDP Mary's Home,37,70 Gerrard St E,Toronto,ON,['Women'],Bed Based Capacity,"70 Gerrard St E, Toronto, ON","70, Gerrard Street East, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5G 2A7, Canada",43.6600957,-79.3783524,Women only
12231,SVDP Elisa House,38,60 Newcastle St,Toronto,ON,['Women'],Bed Based Capacity,"60 Newcastle St, Toronto, ON","60, Newcastle Street, Mimico-Queensway, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Y 2R1, Canada",43.6179513,-79.4973594,Women only
12232,SVDP Amelie House,34,126 Pape Ave,Toronto,ON,['Women'],Bed Based Capacity,"126 Pape Ave, Toronto, ON","126 Pape Avenue, Pape Avenue, South Riverdale, Toronto—Danforth, Toronto, Golden Horseshoe, Ontario, M4M 2V8, Canada",43.6627837,-79.338277,Women only
