LOCATION_NAME,M2N,M4Y,M5A,M5B,M4H,M3N,M5T,M4X,M5G,M2J,M5S,M3C,M6K,M1G,M5V,M1K
CONC West End Hotel Program,7281177.551092028,7284404.7504838975,7286036.231165865,7284731.757722115,7287199.499329963,7272251.413798667,7283168.83003454,7285466.263425308,7284167.989687911,7286284.907691844,7283024.817228599,7286900.326009042,7280556.2959795855,7297109.853667008,7282594.430385118,7293631.691903971
CONC Men's Shelter Lansdowne Ave,7281177.547093452,7284404.746526774,7286036.227212653,7284731.753768543,7287199.495356401,7272251.409806521,7283168.826083203,7285466.259466805,7284167.985735239,7286284.903686567,7283024.813273297,7286900.322026709,7280556.292034107,7297109.849662311,7282594.4264409365,7293631.687918096
CONC Men's Shelter Bloor St W,7281177.525881966,7284404.725305331,7286036.2059902735,7284731.7325462485,7287199.474138901,7272251.3885934865,7283168.804860375,7285466.238245692,7284167.964512731,7286284.882476696,7283024.792051418,7286900.300811314,7280556.270809877,7297109.8284523,7282594.405216396,7293631.666703553
TSSS Downsview Dells,7281177.587343223,7284404.786903783,7286036.267601657,7284731.7941564405,7287199.53568297,7272251.450076032,7283168.866477962,7285466.299839575,7284168.026125906,7286284.943915761,7283024.8536558915,7286900.362326352,7280556.332446835,7297109.889893287,7282594.466857644,7293631.728206864
TSSS Fort York Residence,7281177.506561616,7284404.705948927,7286036.186630471,7284731.7131867595,7287199.454796787,7272251.369267543,7283168.785498942,7285466.218890489,7284167.945152458,7286284.86316218,7283024.772693431,7286900.281476831,7280556.251443354,7297109.80913728,7282594.385848747,7293631.647372153
TSSS Fort York Residence,7281177.506561616,7284404.705948927,7286036.186630471,7284731.7131867595,7287199.454796787,7272251.369267543,7283168.785498942,7285466.218890489,7284167.945152458,7286284.86316218,7283024.772693431,7286900.281476831,7280556.251443354,7297109.80913728,7282594.385848747,7293631.647372153
Progress Avenue Shelter,7281177.334718815,7284404.534284663,7286036.014983067,7284731.541537802,7287199.28306168,7272251.197452404,7283168.613859628,7285466.047220269,7284167.773507391,7286284.691290555,7283024.601037017,7286900.109703943,7280556.079829309,7297109.637268147,7282594.2142403,7293631.475584011
TSSS Junction Place,7281177.583475052,7284404.7829187745,7286036.263605629,7284731.790161429,7287199.531744289,7272251.44618974,7283168.862476648,7285466.29585846,7284168.022128352,7286284.940066479,7283024.849665752,7286900.358412395,7280556.328429013,7297109.886042369,7282594.462836166,7293631.724302892
TSSS Seaton House,7281177.476833783,7284404.676243039,7286036.156926656,7284731.683482754,7287199.425082189,7272251.339543108,7283168.755796122,7285466.1891838685,7284167.91544893,7286284.833430805,7283024.742988508,7286900.251757588,7280556.221743642,7297109.77940621,7282594.356149724,7293631.617651034
TSSS Seaton House,7281177.476833783,7284404.676243039,7286036.156926656,7284731.683482754,7287199.425082189,7272251.339543108,7283168.755796122,7285466.1891838685,7284167.91544893,7286284.833430805,7283024.742988508,7286900.251757588,7280556.221743642,7297109.77940621,7282594.356149724,7293631.617651034
TSSS Seaton House,7281177.476833783,7284404.676243039,7286036.156926656,7284731.683482754,7287199.425082189,7272251.339543108,7283168.755796122,7285466.1891838685,7284167.91544893,7286284.833430805,7283024.742988508,7286900.251757588,7280556.221743642,7297109.77940621,7282594.356149724,7293631.617651034
TSSS Seaton House,7281177.476833783,7284404.676243039,7286036.156926656,7284731.683482754,7287199.425082189,7272251.339543108,7283168.755796122,7285466.1891838685,7284167.91544893,7286284.833430805,7283024.742988508,7286900.251757588,7280556.221743642,7297109.77940621,7282594.356149724,7293631.617651034
TSSS Downtown Response Program,7281177.478562741,7284404.67795846,7286036.158640801,7284731.685197015,7287199.426802978,7272251.341269965,7283168.757509654,7285466.190899741,7284167.917162898,7286284.83516195,7283024.744703335,7286900.253481242,7280556.223455261,7297109.781137167,7282594.357860919,7293631.6193758445
TSSS Seaton House,7281177.476833783,7284404.676243039,7286036.156926656,7284731.683482754,7287199.425082189,7272251.339543108,7283168.755796122,7285466.1891838685,7284167.91544893,7286284.833430805,7283024.742988508,7286900.251757588,7280556.221743642,7297109.77940621,7282594.356149724,7293631.617651034
TSSS Womens' Residence,7281177.506908604,7284404.70631164,7286036.186994666,7284731.713550819,7287199.455153265,7272251.369616968,7283168.78586385,7285466.219252678,7284167.945516859,7286284.863506624,7283024.773056835,7286900.28182998,7280556.251810484,7297109.809481944,7282594.3862163685,7293631.647723957
Cornerstone Place,7281177.537664947,7284404.737136668,7286036.217826169,7284731.744381725,7287199.485951067,7272251.40038397,7283168.816698458,7285466.2500754185,7284167.976349258,7286284.894251858,7283024.803884877,7286900.312613248,7280556.282654789,7297109.840228139,7282594.417062822,7293631.678501354
Dixon Hall Schoolhouse,7281177.4769287715,7284404.676338594,7286036.157022265,7284731.683578358,7287199.42517752,7272251.339638185,7283168.755891757,7285466.189279405,7284167.915544546,7286284.833525702,7283024.74308409,7286900.251852799,7280556.221839358,7297109.779501116,7282594.356245456,7293631.617746197
